cluster,num_images,images
type_1,19,F6WU_3176_R3.PNG;F6YC_3176_R2.PNG;F6YD_3176_R1.PNG;F6YH_3176_R1.PNG;F6YK_3176_R1.PNG;F6YL_3176_R1.PNG;F6YM_3176_R1.PNG;F7W4_3176_R3.PNG;F7WA_3176_R1.PNG;F7WD_3176_R1.PNG;F81L_3176_R1.PNG;F85G_3176_R1.PNG;F8C8_3176_R1.PNG;F8CA_3176_R1.PNG;F8CY_3176_R1.PNG;F8EA_3176_R1.PNG;F8EF_3176_R1.PNG;F8H8_3176_R1.PNG;F8KP_3176_R1.PNG
type_2,18,738015_31764_R1_PASS2.PNG;738015_31764_R1_PASS3.PNG;738028_31764_R2_PASS3.PNG;F6Y1_3176_R1.PNG;F7WG_3176_R2.PNG;F84H_3176_R1.PNG;F84J_3176_R1.PNG;F84K_3176_R1.PNG;F84P_3176_R1.PNG;F84W_3176_R1.PNG;F84X_3176_R1.PNG;F85J_3176_R1.PNG;F8AU_3176_R1.PNG;F8C4_3176_R1.PNG;F8HJ_3176_R1.PNG;F8KK_3176_R1.PNG;F8LE_3176_R1.PNG;F8LG_3176_R1.PNG
type_3,12,F6XT_3176_R1.PNG;F6Y3_3176_R1.PNG;F6Y4_3176_R1.PNG;F6Y4_3176_R2.PNG;F6Y7_3176_R1.PNG;F6YJ_3176_R1.PNG;F7WW_3176_R1.PNG;F7X7_3176_R1.PNG;F84Y_3176_R2.PNG;F8EX_3176_R1.PNG;F8HA_3176_R1.PNG;F8NF_3176_R1.PNG
type_4,17,F5A6_3176_R1.PNG;F6XN_3176_R1.PNG;F6XR_3176_R2.PNG;F6YK_3176_R2.PNG;F82A_3176_R2.PNG;F84E_3176_R1.PNG;F85G_3176_R2.PNG;F8C7_3176_R1.PNG;F8CG_3176_R1.PNG;F8CK_3176_R1.PNG;F8ET_3176_R1.PNG;F8F4_3176_R2.PNG;F8HE_3176_R2.PNG;F8HF_3176_R1.PNG;F8HN_3176_R1.PNG;F8KC_3176_R1.PNG;F8MJ_3176_R1.PNG
type_5,12,F7WM_3176_R1.PNG;F7XW_3176_R1.PNG;F83M_3176_R1.PNG;F85L_3176_R1.PNG;F8AX_3176_R1.PNG;F8CF_3176_R1.PNG;F8CH_3176_R1.PNG;F8DA_3176_R1.PNG;F8JN_3176_R1.PNG;F8KD_3176_R1.PNG;F8LP_3176_R1.PNG;F8LW_3176_R1.PNG
type_6,20,738015_31764_R1_PASS1.PNG;F6XP_3176_R1.PNG;F6Y2_3176_R1.PNG;F6Y8_3176_R1.PNG;F6YA_3176_R1.PNG;F6YC_3176_R1.PNG;F6YE_3176_R1.PNG;F6YF_3176_R1.PNG;F6YG_3176_R1.PNG;F6YH_3176_R2.PNG;F81H_3176_R1.PNG;F8C9_3176_R1.PNG;F8DF_3176_R1.PNG;F8EC_3176_R1.PNG;F8EM_3176_R1.PNG;F8ER_3176_R1.PNG;F8J6_3176_R1.PNG;F8JG_3176_R1.PNG;F8K6_3176_R1.PNG;F8KJ_3176_R1.PNG
type_7,10,F6X2_3176_R1.PNG;F6XR_3176_R1.PNG;F7WU_3176_R1.PNG;F8C2_3176_R1.PNG;F8CT_3176_R1.PNG;F8LX_3176_R1.PNG;F8N9_3176_R1.PNG;F8R5_3176_R1.PNG;F8W2_3176_R1.PNG;F8WR_3176_R1.PNG
type_8,27,F6WW_3176_R1.PNG;F6XM_3176_R1.PNG;F6Y6_3176_R1.PNG;F6YD_3176_R2.PNG;F7W4_3176_R1.PNG;F7W4_3176_R2.PNG;F7WG_3176_R1.PNG;F7WR_3176_R2.PNG;F7WT_3176_R1.PNG;F7WT_3176_R2.PNG;F7XA_3176_R1.PNG;F7XF_3176_R1.PNG;F83U_3176_R1.PNG;F85A_3176_R1.PNG;F8C2_3176_R2.PNG;F8CC_3176_R1.PNG;F8CD_3176_R1.PNG;F8CE_3176_R1.PNG;F8CN_3176_R1.PNG;F8CP_3176_R1.PNG;F8HM_3176_R2.PNG;F8HR_3176_R1.PNG;F8J5_3176_R1.PNG;F8JF_3176_R1.PNG;F8L2_3176_R1.PNG;F8M5_3176_R1.PNG;F8NE_3176_R1.PNG
type_9,15,F7WR_3176_R1.PNG;F82A_3176_R1.PNG;F84D_3176_R1.PNG;F84T_3176_R1.PNG;F8C5_3176_R1 copy.PNG;F8C5_3176_R1.PNG;F8C6_3176_R1.PNG;F8CU_3176_R1.PNG;F8EN_3176_R1.PNG;F8HG_3176_R1.PNG;F8K4_3176_R1.PNG;F8KU_3176_R1.PNG;F8LN_3176_R1.PNG;F8LR_3176_R1.PNG;F8R9_3176_R1.PNG
type_10,15,F78F_3176_R2.PNG;F7XM_3176_R1.PNG;F82F_3176_R1.PNG;F82L_3176_R1.PNG;F82M_3176_R1.PNG;F85F_3176_R1.PNG;F8CL_3176_R1.PNG;F8ED_3176_R1.PNG;F8JR_3176_R1.PNG;F8MP_3176_R1.PNG;F8MR_3176_R1.PNG;F8RA_3176_R1.PNG;F8WC_3176_R1.PNG;F8WF_3176_R1.PNG;F8WN_3176_R1.PNG
