image_path,label
data/Op3176_DefectMap\719085_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\719085_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\719085_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\719085_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\719085_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\719085_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\719089_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\719089_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\719089_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\719089_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\719089_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\719089_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\719093_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\719093_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\719093_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\719093_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\719093_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\719093_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\723391_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\723391_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\723391_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\723391_31764_R1_PASS2.PNG,-1
data/Op3176_DefectMap\723391_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\723391_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\734792_31764_R2_PASS1.PNG,-1
data/Op3176_DefectMap\734792_31764_R2_PASS1.PNG,-1
data/Op3176_DefectMap\734792_31764_R2_PASS2.PNG,-1
data/Op3176_DefectMap\734792_31764_R2_PASS2.PNG,-1
data/Op3176_DefectMap\734792_31764_R2_PASS3.PNG,-1
data/Op3176_DefectMap\734792_31764_R2_PASS3.PNG,-1
data/Op3176_DefectMap\734803_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\734803_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\734803_31764_R1_PASS2.PNG,6
data/Op3176_DefectMap\734803_31764_R1_PASS2.PNG,6
data/Op3176_DefectMap\734803_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\734803_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\734845_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\734845_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\734845_31764_R1_PASS2.PNG,5
data/Op3176_DefectMap\734845_31764_R1_PASS2.PNG,4
data/Op3176_DefectMap\734845_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\734845_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\737454_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\737454_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\737454_31764_R1_PASS2.PNG,4
data/Op3176_DefectMap\737454_31764_R1_PASS2.PNG,5
data/Op3176_DefectMap\737454_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\737454_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\737717_31764_R1_PASS1.PNG,2
data/Op3176_DefectMap\737717_31764_R1_PASS1.PNG,2
data/Op3176_DefectMap\737717_31764_R1_PASS2.PNG,5
data/Op3176_DefectMap\737717_31764_R1_PASS2.PNG,5
data/Op3176_DefectMap\737717_31764_R1_PASS3.PNG,2
data/Op3176_DefectMap\737717_31764_R1_PASS3.PNG,2
data/Op3176_DefectMap\737848_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\737848_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\737848_31764_R1_PASS2.PNG,4
data/Op3176_DefectMap\737848_31764_R1_PASS2.PNG,4
data/Op3176_DefectMap\737848_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\737848_31764_R1_PASS3.PNG,-1
data/Op3176_DefectMap\737854_31764_R2_PASS1.PNG,-1
data/Op3176_DefectMap\737854_31764_R2_PASS1.PNG,-1
data/Op3176_DefectMap\737854_31764_R2_PASS2.PNG,4
data/Op3176_DefectMap\737854_31764_R2_PASS2.PNG,4
data/Op3176_DefectMap\737854_31764_R2_PASS3.PNG,-1
data/Op3176_DefectMap\737854_31764_R2_PASS3.PNG,-1
data/Op3176_DefectMap\737856_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\737856_31764_R1_PASS1.PNG,-1
data/Op3176_DefectMap\737856_31764_R1_PASS2.PNG,6
data/Op3176_DefectMap\737856_31764_R1_PASS2.PNG,6
data/Op3176_DefectMap\737856_31764_R1_PASS3.PNG,-1
